日期,时间,纬度,经度,航向,节,时速,高度,爬升率,数据源
20190801,星期四 21:01:4809:01下午,27.264427.26,-81.4948-81.49,&nwarr 338°,479,887,"8,6188618",259 , FlightAware ADS-B  (KISM) 
20190801,星期四 21:02:1809:02下午,27.324027.32,-81.5216-81.52,↑ 339°,482,893,"8,7558755",282 , FlightAware ADS-B  (KMCF) 
20190801,星期四 21:02:4809:02下午,27.387827.39,-81.5501-81.55,&nwarr 338°,485,898,"8,9008900",267 , FlightAware ADS-B  (KHWO) 
20190801,星期四 21:03:1809:03下午,27.452127.45,-81.5790-81.58,&nwarr 338°,488,904,"9,0229022",259 , FlightAware ADS-B  (KTPA) 
20190801,星期四 21:03:4809:03下午,27.515327.52,-81.6075-81.61,&nwarr 338°,490,908,"9,1599159",320 , FlightAware ADS-B  (KFMY) 
20190801,星期四 21:04:1809:04下午,27.576927.58,-81.6354-81.64,&nwarr 338°,487,901,"9,3429342",332 , FlightAware ADS-B  (KBOW) 
20190801,星期四 21:04:3909:04下午,27.620427.62,-81.6560-81.66,&nwarr 334°,486,900,"9,4419441",229 , FlightAware ADS-B  (KMCO) 
20190801,星期四 21:04:5809:04下午,27.657427.66,-81.6792-81.68,&nwarr 329°,485,898,"9,4959495",233 , FlightAware ADS-B  (KZPH) 
20190801,星期四 21:05:2609:05下午,27.712427.71,-81.7172-81.72,&nwarr 329°,485,898,"9,6249624",341 , FlightAware ADS-B  (KPGD) 
20190801,星期四 21:05:5709:05下午,27.771327.77,-81.7576-81.76,&nwarr 330°,480,888,"9,8309830",371 , FlightAware ADS-B  (KDAB) 
20190801,星期四 21:06:1909:06下午,27.811727.81,-81.7854-81.79,&nwarr 330°,480,888,"9,9529952",284 , FlightAware ADS-B  (KMCF) 
20190801,星期四 21:06:4209:06下午,27.852627.85,-81.8136-81.81,&nwarr 330°,480,888,"10,04310043",292 , FlightAware ADS-B  (KDED) 
20190801,星期四 21:07:2009:07下午,27.928527.93,-81.8660-81.87,&nwarr 329°,479,887,"10,24910249",276 , FlightAware ADS-B  (KBOW) 
20190801,星期四 21:07:5009:07下午,27.984327.98,-81.9045-81.90,&nwarr 329°,476,882,"10,35610356",114 , FlightAware ADS-B  (KMIA) 
20190801,星期四 21:08:2009:08下午,28.041028.04,-81.9438-81.94,&nwarr 328°,475,880,"10,36310363",8 , FlightAware ADS-B  (KTPA) 
20190801,星期四 21:08:5109:08下午,28.100228.10,-81.9849-81.98,&nwarr 328°,477,884,"10,36310363", , FlightAware ADS-B  (KPCM) 
20190801,星期四 21:09:2109:09下午,28.157928.16,-82.0247-82.02,&nwarr 330°,479,887,"10,36310363", , FlightAware ADS-B  (KVRB) 
20190801,星期四 21:09:5809:09下午,28.231428.23,-82.0659-82.07,&nwarr 334°,482,893,"10,36310363", , FlightAware ADS-B  (KSGJ) 
20190801,星期四 21:10:2909:10下午,28.293028.29,-82.0998-82.10,&nwarr 334°,481,892,"10,36310363", , FlightAware ADS-B  (KORL) 
20190801,星期四 21:10:5709:10下午,28.349928.35,-82.1315-82.13,&nwarr 334°,481,892,"10,36310363", , FlightAware ADS-B  (KOCF) 
20190801,星期四 21:11:2009:11下午,28.397128.40,-82.1578-82.16,&nwarr 334°,480,888,"10,36310363", , FlightAware ADS-B  (KSGJ) 
20190801,星期四 21:11:3809:11下午,28.428928.43,-82.1755-82.18,&nwarr 334°,480,888,"10,36310363", , FlightAware ADS-B  (KVQQ) 
20190801,星期四 21:12:0809:12下午,28.489828.49,-82.2094-82.21,&nwarr 334°,480,888,"10,36310363", , FlightAware ADS-B  (KRSW) 
20190801,星期四 21:12:3409:12下午,28.542428.54,-82.2387-82.24,&nwarr 334°,481,892,"10,36310363", , FlightAware ADS-B  (KZPH) 
20190801,星期四 21:13:0409:13下午,28.603028.60,-82.2726-82.27,&nwarr 334°,480,888,"10,36310363", , FlightAware ADS-B  (KTPA) 
20190801,星期四 21:13:3409:13下午,28.661828.66,-82.3054-82.31,&nwarr 335°,478,885,"10,36310363", , FlightAware ADS-B  (KDAB) 
20190801,星期四 21:14:0409:14下午,28.720828.72,-82.3383-82.34,&nwarr 334°,480,888,"10,36310363", , FlightAware ADS-B  (KMCO) 
20190801,星期四 21:14:3409:14下午,28.779728.78,-82.3712-82.37,&nwarr 334°,481,892,"10,36310363", , FlightAware ADS-B  (KDAB) 
20190801,星期四 21:15:0409:15下午,28.843628.84,-82.4072-82.41,&nwarr 334°,479,887,"10,36310363", , FlightAware ADS-B  (KCLW) 
20190801,星期四 21:15:3409:15下午,28.902128.90,-82.4399-82.44,&nwarr 334°,478,885,"10,36310363", , FlightAware ADS-B  (KVRB) 
20190801,星期四 21:16:0409:16下午,28.962428.96,-82.4738-82.47,&nwarr 334°,481,892,"10,36310363", , FlightAware ADS-B  (KFMY) 
20190801,星期四 21:16:3409:16下午,29.019429.02,-82.5059-82.51,&nwarr 334°,482,893,"10,36310363", , FlightAware ADS-B  (KISM) 
20190801,星期四 21:17:0809:17下午,29.088029.09,-82.5446-82.54,&nwarr 335°,479,887,"10,36310363", , FlightAware ADS-B  (KPGD) 
20190801,星期四 21:17:3809:17下午,29.145229.15,-82.5768-82.58,&nwarr 334°,479,887,"10,36310363", , FlightAware ADS-B  (KPGD) 
20190801,星期四 21:18:0409:18下午,29.195329.20,-82.6052-82.61,&nwarr 335°,478,885,"10,36310363", , FlightAware ADS-B  (KPIE) 
20190801,星期四 21:18:3409:18下午,29.260329.26,-82.6420-82.64,&nwarr 334°,479,887,"10,36310363", , FlightAware ADS-B  (KHXD) 
20190801,星期四 21:19:0409:19下午,29.318529.32,-82.6750-82.67,&nwarr 334°,480,888,"10,36310363", , FlightAware ADS-B  (KGNV) 
20190801,星期四 21:19:3109:19下午,29.372129.37,-82.7053-82.71,&nwarr 335°,479,887,"10,36310363", , FlightAware ADS-B  (KGNV) 
20190801,星期四 21:20:0209:20下午,29.433229.43,-82.7400-82.74,&nwarr 334°,480,888,"10,36310363", , FlightAware ADS-B  (KSGJ) 
20190801,星期四 21:20:3209:20下午,29.494229.49,-82.7746-82.77,&nwarr 334°,480,888,"10,36310363", , FlightAware ADS-B  (KOCF) 
20190801,星期四 21:21:0209:21下午,29.554229.55,-82.8088-82.81,&nwarr 334°,479,887,"10,36310363", , FlightAware ADS-B  (KSGJ) 
20190801,星期四 21:21:3209:21下午,29.613829.61,-82.8428-82.84,&nwarr 334°,478,885,"10,36310363", , FlightAware ADS-B  (KSGJ) 
20190801,星期四 21:22:0909:22下午,29.687829.69,-82.8850-82.89,&nwarr 334°,478,885,"10,36310363", , FlightAware ADS-B  (KPCM) 
20190801,星期四 21:22:3909:22下午,29.746929.75,-82.9188-82.92,&nwarr 333°,476,882,"10,36310363", , FlightAware ADS-B  (KSFB) 
20190801,星期四 21:23:0909:23下午,29.803229.80,-82.9511-82.95,&nwarr 333°,478,885,"10,36310363", , FlightAware ADS-B  (KJAX) 
20190801,星期四 21:23:4009:23下午,29.866129.87,-82.9872-82.99,&nwarr 333°,479,887,"10,36310363", , FlightAware ADS-B  (KSFB) 
20190801,星期四 21:24:1109:24下午,29.928229.93,-83.0229-83.02,&nwarr 334°,476,882,"10,36310363", , FlightAware ADS-B  (KPGD) 
20190801,星期四 21:24:4109:24下午,29.987829.99,-83.0572-83.06,&nwarr 333°,476,882,"10,36310363", , FlightAware ADS-B  (KSVN) 
20190801,星期四 21:25:1109:25下午,30.048030.05,-83.0919-83.09,&nwarr 333°,476,882,"10,36310363", , FlightAware ADS-B  (KPIE) 
20190801,星期四 21:25:4109:25下午,30.108330.11,-83.1266-83.13,&nwarr 333°,475,880,"10,36310363", , FlightAware ADS-B  (KSFB) 
20190801,星期四 21:26:1109:26下午,30.164030.16,-83.1588-83.16,&nwarr 333°,475,880,"10,36310363", , FlightAware ADS-B  (KISM) 
20190801,星期四 21:26:4109:26下午,30.223230.22,-83.1930-83.19,&nwarr 334°,475,880,"10,36310363", , FlightAware ADS-B  (KISM) 
20190801,星期四 21:27:1209:27下午,30.287130.29,-83.2299-83.23,&nwarr 333°,475,880,"10,36310363", , FlightAware ADS-B  (KPIE) 
20190801,星期四 21:27:4309:27下午,30.345730.35,-83.2639-83.26,&nwarr 333°,475,880,"10,36310363", , FlightAware ADS-B  (KTLH) 
20190801,星期四 21:28:1309:28下午,30.407430.41,-83.2997-83.30,&nwarr 333°,475,880,"10,36310363", , FlightAware ADS-B  (KLCQ) 
20190801,星期四 21:28:4309:28下午,30.464230.46,-83.3329-83.33,&nwarr 333°,473,875,"10,36310363", , FlightAware ADS-B  (KTLH) 
20190801,星期四 21:29:1309:29下午,30.520730.52,-83.3658-83.37,&nwarr 333°,473,875,"10,36310363", , FlightAware ADS-B  (KTVI) 
20190801,星期四 21:29:4409:29下午,30.583130.58,-83.4021-83.40,&nwarr 333°,467,864,"10,36310363", , FlightAware ADS-B  (KSFB) 
20190801,星期四 21:30:1409:30下午,30.639230.64,-83.4348-83.43,&nwarr 333°,467,864,"10,36310363", , FlightAware ADS-B  (KTLH) 
20190801,星期四 21:30:4409:30下午,30.698730.70,-83.4696-83.47,&nwarr 333°,471,872,"10,36310363", , FlightAware ADS-B  (KTLH) 
20190801,星期四 21:31:1409:31下午,30.760130.76,-83.5055-83.51,&nwarr 333°,471,872,"10,36310363", , FlightAware ADS-B  (KCRG) 
20190801,星期四 21:31:4409:31下午,30.815530.82,-83.5380-83.54,&nwarr 333°,471,872,"10,36310363", , FlightAware ADS-B  (KTLH) 
20190801,星期四 21:32:1409:32下午,30.872930.87,-83.5717-83.57,&nwarr 333°,472,874,"10,36310363", , FlightAware ADS-B  (KTLH) 
20190801,星期四 21:32:4409:32下午,30.931630.93,-83.6063-83.61,&nwarr 333°,472,874,"10,36310363", , FlightAware ADS-B  (KTLH) 
20190801,星期四 21:33:1409:33下午,30.990730.99,-83.6411-83.64,&nwarr 333°,473,875,"10,36310363", , FlightAware ADS-B  (KTLH) 
20190801,星期四 21:33:4409:33下午,31.048731.05,-83.6752-83.68,&nwarr 333°,476,882,"10,36310363", , FlightAware ADS-B  (KTVI) 
20190801,星期四 21:34:0709:34下午,31.091031.09,-83.7003-83.70,&nwarr 333°,475,880,"10,36310363", , FlightAware ADS-B  (KGNV) 
20190801,星期四 21:34:3909:34下午,31.157631.16,-83.7396-83.74,&nwarr 333°,475,880,"10,36310363",7 , FlightAware ADS-B  (KHRT) 
20190801,星期四 21:35:0909:35下午,31.217331.22,-83.7749-83.77,&nwarr 333°,469,869,"10,37110371", , FlightAware ADS-B  (KLCQ) 
20190801,星期四 21:35:4109:35下午,31.278231.28,-83.8110-83.81,&nwarr 333°,466,863,"10,36310363",-7 , FlightAware ADS-B  (KNBV) 
20190801,星期四 21:36:1109:36下午,31.334531.33,-83.8444-83.84,&nwarr 334°,466,863,"10,36310363", , FlightAware ADS-B  (KMXF) 
20190801,星期四 21:36:4109:36下午,31.389231.39,-83.8770-83.88,&nwarr 334°,471,872,"10,36310363", , FlightAware ADS-B  (KSSI) 
20190801,星期四 21:37:1109:37下午,31.450631.45,-83.9136-83.91,&nwarr 333°,472,874,"10,36310363", , FlightAware ADS-B  (KMXF) 
20190801,星期四 21:37:2709:37下午,31.484031.48,-83.9315-83.93,&nwarr 338°,474,877,"10,36310363", , FlightAware ADS-B  (KGNV) 
20190801,星期四 21:37:5509:37下午,31.541131.54,-83.9559-83.96,↑ 343°,479,887,"10,36310363", , FlightAware ADS-B  (KCTY) 
20190801,星期四 21:38:2609:38下午,31.608931.61,-83.9759-83.98,↑ 349°,483,895,"10,36310363", , FlightAware ADS-B  (KACJ) 
20190801,星期四 21:39:0809:39下午,31.700131.70,-83.9960-84.00,↑ 350°,478,885,"10,36310363", , FlightAware ADS-B  (KGNV) 
20190801,星期四 21:39:3909:39下午,31.767931.77,-84.0112-84.01,↑ 349°,472,874,"10,36310363", , FlightAware ADS-B  (KVLD) 
20190801,星期四 21:40:1209:40下午,31.836331.84,-84.0264-84.03,↑ 349°,460,851,"10,36310363", , FlightAware ADS-B  (KMGM) 
20190801,星期四 21:40:4209:40下午,31.899431.90,-84.0406-84.04,↑ 349°,455,843,"10,36310363",8 , FlightAware ADS-B  (KOMN) 
20190801,星期四 21:41:1209:41下午,31.960631.96,-84.0544-84.05,↑ 349°,448,830,"10,37110371", , FlightAware ADS-B  (KCCO) 
20190801,星期四 21:41:4209:41下午,32.023732.02,-84.0684-84.07,↑ 349°,448,830,"10,36310363",-8 , FlightAware ADS-B  (KMXF) 
20190801,星期四 21:42:1209:42下午,32.084432.08,-84.0820-84.08,↑ 349°,451,835,"10,36310363", , FlightAware ADS-B  (KRYY) 
20190801,星期四 21:42:4209:42下午,32.144332.14,-84.0954-84.10,↑ 349°,454,840,"10,36310363", , FlightAware ADS-B  (KATL) 
20190801,星期四 21:43:1209:43下午,32.208632.21,-84.1099-84.11,↑ 349°,457,847,"10,36310363", , FlightAware ADS-B  (KRYY) 
20190801,星期四 21:43:4209:43下午,32.272832.27,-84.1244-84.12,↑ 349°,458,848,"10,36310363", , FlightAware ADS-B  (KMCN) 
20190801,星期四 21:44:1209:44下午,32.332932.33,-84.1379-84.14,↑ 349°,457,847,"10,36310363", , FlightAware ADS-B  (KDNL) 
20190801,星期四 21:44:4209:44下午,32.396332.40,-84.1522-84.15,↑ 349°,452,837,"10,36310363", , FlightAware ADS-B  (KMCN) 
20190801,星期四 21:45:1209:45下午,32.456832.46,-84.1658-84.17,↑ 349°,448,830,"10,36310363", , FlightAware ADS-B  (KVLD) 
20190801,星期四 21:45:4309:45下午,32.517432.52,-84.1796-84.18,↑ 349°,447,827,"10,36310363", , FlightAware ADS-B  (KVLD) 
20190801,星期四 21:46:1309:46下午,32.580832.58,-84.1939-84.19,↑ 349°,448,830,"10,36310363", , FlightAware ADS-B  (KMLJ) 
20190801,星期四 21:46:4309:46下午,32.642032.64,-84.2078-84.21,↑ 349°,448,830,"10,36310363", , FlightAware ADS-B  (KMLJ) 
20190801,星期四 21:47:1309:47下午,32.703532.70,-84.2219-84.22,↑ 349°,447,827,"10,36310363", , FlightAware ADS-B  (KVLD) 
20190801,星期四 21:47:4309:47下午,32.764432.76,-84.2358-84.24,↑ 350°,446,826,"10,36310363", , FlightAware ADS-B  (KBGE) 
20190801,星期四 21:48:1309:48下午,32.823832.82,-84.2493-84.25,↑ 349°,448,830,"10,36310363", , FlightAware ADS-B  (KBGE) 
20190801,星期四 21:48:4309:48下午,32.885132.89,-84.2632-84.26,↑ 349°,446,826,"10,36310363", , FlightAware ADS-B  (KHMP) 
20190801,星期四 21:49:1309:49下午,32.946432.95,-84.2772-84.28,↑ 349°,446,826,"10,36310363", , FlightAware ADS-B  (KHMP) 
20190801,星期四 21:49:4309:49下午,33.008433.01,-84.2914-84.29,↑ 349°,448,830,"10,36310363", , FlightAware ADS-B  (KHMP) 
20190801,星期四 21:50:1309:50下午,33.069033.07,-84.3053-84.31,↑ 349°,451,835,"10,36310363", , FlightAware ADS-B  (KPDK) 
20190801,星期四 21:50:4409:50下午,33.131133.13,-84.3196-84.32,↑ 349°,451,835,"10,36310363", , FlightAware ADS-B  (KMGE) 
20190801,星期四 21:51:1409:51下午,33.192833.19,-84.3337-84.33,↑ 349°,450,834,"10,36310363", , FlightAware ADS-B  (KHMP) 
20190801,星期四 21:51:4509:51下午,33.254833.25,-84.3479-84.35,↑ 349°,451,835,"10,36310363", , FlightAware ADS-B  (KFTY) 
20190801,星期四 21:52:1509:52下午,33.317533.32,-84.3623-84.36,↑ 349°,451,835,"10,36310363", , FlightAware ADS-B  (KATL) 
20190801,星期四 21:52:4509:52下午,33.380733.38,-84.3769-84.38,↑ 349°,451,835,"10,36310363", , FlightAware ADS-B  (KATL) 
20190801,星期四 21:53:0609:53下午,33.418733.42,-84.3857-84.39,↑ 350°,452,837,"10,36310363", , FlightAware ADS-B  (KATL) 
20190801,星期四 21:53:3609:53下午,33.486033.49,-84.4014-84.40,↑ 349°,453,838,"10,36310363", , FlightAware ADS-B  (KRYY) 
20190801,星期四 21:54:0609:54下午,33.548333.55,-84.4158-84.42,↑ 349°,453,838,"10,36310363", , FlightAware ADS-B  (KGVL) 
20190801,星期四 21:54:3609:54下午,33.608233.61,-84.4297-84.43,↑ 349°,449,832,"10,36310363", , FlightAware ADS-B  (KATL) 
20190801,星期四 21:55:0609:55下午,33.668833.67,-84.4437-84.44,↑ 349°,448,830,"10,36310363", , FlightAware ADS-B  (KATL) 
20190801,星期四 21:55:3809:55下午,33.733733.73,-84.4577-84.46,↑ 351°,447,827,"10,36310363", , FlightAware ADS-B  (KMGE) 
20190801,星期四 21:55:5809:55下午,33.775333.78,-84.4668-84.47,↑ 351°,448,830,"10,36310363", , FlightAware ADS-B  (KLZU) 
20190801,星期四 21:56:1409:56下午,33.808633.81,-84.4740-84.47,↑ 350°,449,832,"10,36310363", , FlightAware ADS-B  (KLZU) 
20190801,星期四 21:56:3909:56下午,33.859933.86,-84.4853-84.49,↑ 350°,447,827,"10,36310363",9 , FlightAware ADS-B  (KPDK) 
20190801,星期四 21:57:0809:57下午,33.916733.92,-84.4977-84.50,↑ 351°,443,821,"10,37110371", , FlightAware ADS-B  (KMGE) 
20190801,星期四 21:57:4609:57下午,33.994533.99,-84.5150-84.52,↑ 350°,443,821,"10,36310363",-7 , FlightAware ADS-B  (KRYY) 
20190801,星期四 21:58:1709:58下午,34.056834.06,-84.5259-84.53,↑ 356°,442,819,"10,36310363", , FlightAware ADS-B  (KATL) 
20190801,星期四 21:58:4709:58下午,34.118134.12,-84.5320-84.53,↑ 355°,444,822,"10,36310363", , FlightAware ADS-B  (KRYY) 
20190801,星期四 21:59:1709:59下午,34.179234.18,-84.5384-84.54,↑ 355°,438,811,"10,36310363", , FlightAware ADS-B  (KCTJ) 
20190801,星期四 21:59:4809:59下午,34.239534.24,-84.5448-84.54,↑ 356°,433,801,"10,36310363", , FlightAware ADS-B  (KPDK) 
20190801,星期四 22:00:3410:00下午,34.332934.33,-84.5547-84.55,↑ 355°,435,806,"10,36310363",-6 , FlightAware ADS-B  (KCHA) 
20190801,星期四 22:01:0410:01下午,34.392534.39,-84.5610-84.56,↑ 356°,435,806,"10,35610356", , FlightAware ADS-B  (KCHA) 
20190801,星期四 22:01:3510:01下午,34.455534.46,-84.5676-84.57,↑ 356°,436,808,"10,36310363",7 , FlightAware ADS-B  (KCHA) 
20190801,星期四 22:02:0610:02下午,34.519834.52,-84.5744-84.57,↑ 355°,439,813,"10,36310363",8 , FlightAware ADS-B  (KRHP) 
20190801,星期四 22:02:3610:02下午,34.580134.58,-84.5807-84.58,↑ 356°,438,811,"10,37110371", , FlightAware ADS-B  (KCHA) 
20190801,星期四 22:02:5710:02下午,34.621234.62,-84.5850-84.58,↑ 355°,440,814,"10,36310363", , FlightAware ADS-B  (KMGE) 
20190801,星期四 22:03:3710:03下午,34.704234.70,-84.5938-84.59,↑ 355°,441,816,"10,37110371",6 , FlightAware ADS-B  (KLZU) 
20190801,星期四 22:04:0810:04下午,34.766934.77,-84.6004-84.60,↑ 355°,441,816,"10,37110371", , FlightAware ADS-B  (KBHM) 
20190801,星期四 22:04:3810:04下午,34.827734.83,-84.6069-84.61,↑ 356°,440,814,"10,37110371", , FlightAware ADS-B  (KLZU) 
20190801,星期四 22:05:0810:05下午,34.888034.89,-84.6133-84.61,↑ 355°,441,816,"10,37110371", , FlightAware ADS-B  (KLZU) 
20190801,星期四 22:05:3810:05下午,34.950634.95,-84.6200-84.62,↑ 355°,441,816,"10,37110371", , FlightAware ADS-B  (KTOC) 
20190801,星期四 22:06:1910:06下午,35.032235.03,-84.6287-84.63,↑ 355°,440,814,"10,37110371",-7 , FlightAware ADS-B  (KLZU) 
20190801,星期四 22:06:4010:06下午,35.074035.07,-84.6332-84.63,↑ 356°,439,813,"10,36310363",-9 , FlightAware ADS-B  (KPDK) 
20190801,星期四 22:07:1010:07下午,35.135135.14,-84.6397-84.64,↑ 355°,439,813,"10,36310363",-8 , FlightAware ADS-B  (KPDK) 
20190801,星期四 22:07:4110:07下午,35.199735.20,-84.6466-84.65,↑ 355°,439,813,"10,35610356",-15 , FlightAware ADS-B  (KVJI) 
20190801,星期四 22:08:1110:08下午,35.262735.26,-84.6534-84.65,↑ 355°,441,816,"10,34810348", , FlightAware ADS-B  (KMQY) 
20190801,星期四 22:08:2910:08下午,35.296735.30,-84.6571-84.66,↑ 355°,441,816,"10,35610356",10 , FlightAware ADS-B  (KCHA) 
20190801,星期四 22:08:5810:08下午,35.351535.35,-84.6630-84.66,↑ 356°,441,816,"10,35610356",8 , FlightAware ADS-B  (KCHA) 
20190801,星期四 22:09:2810:09下午,35.414835.41,-84.6698-84.67,↑ 355°,443,821,"10,36310363",8 , FlightAware ADS-B  (KRHP) 
